"species","latitude","longitude","source"
"Rhinolophus affinis",1.954,109.607,"GBIF"
"Rhinolophus affinis",3.8014,113.7841,"GBIF"
"Rhinolophus affinis",1.1167,110.2167,"GBIF"
"Rhinolophus affinis",1.690549,109.84583,"GBIF"
"Rhinolophus affinis",11.419759,107.428542,"GBIF"
"Rhinolophus affinis",11.45677,107.351187,"GBIF"
"Rhinolophus affinis",-6.458861,106.511667,"GBIF"
"Rhinolophus affinis",-6.459066,106.510931,"GBIF"
"Rhinolophus affinis",-6.459583,106.511389,"GBIF"
"Rhinolophus affinis",-6.458528,106.511667,"GBIF"
"Rhinolophus affinis",-6.91,106.829,"GBIF"
"Rhinolophus affinis",5.308611,100.22,"GBIF"
"Rhinolophus affinis",5.445556,100.2194,"GBIF"
"Rhinolophus affinis",5.403333,100.2089,"GBIF"
"Rhinolophus affinis",5.414167,100.2753,"GBIF"
"Rhinolophus affinis",5.343056,100.2836,"GBIF"
"Rhinolophus affinis",5.430556,100.2944,"GBIF"
"Rhinolophus affinis",5.4625,100.23,"GBIF"
"Rhinolophus affinis",5.43,100.29,"GBIF"
"Rhinolophus affinis",5.44,100.29,"GBIF"
"Rhinolophus affinis",5.43,100.27,"GBIF"
"Rhinolophus affinis",13.665303,104.027248,"GBIF"
"Rhinolophus affinis",13.6688,104.029092,"GBIF"
"Rhinolophus affinis",22.195917,106.038317,"GBIF"
"Rhinolophus affinis",22.2455,105.974417,"GBIF"
"Rhinolophus affinis",22.197717,106.03355,"GBIF"
"Rhinolophus affinis",22.24725,105.978217,"GBIF"
"Rhinolophus affinis",22.248117,105.973417,"GBIF"
"Rhinolophus affinis",22.271467,106.0499,"GBIF"
"Rhinolophus affinis",22.188667,106.058833,"GBIF"
"Rhinolophus affinis",22.8065,93.6998,"GBIF"
"Rhinolophus affinis",-8.524744,119.867461,"GBIF"
"Rhinolophus affinis",12.842316,99.591718,"GBIF"
"Rhinolophus affinis",12.179,108.679,"GBIF"
"Rhinolophus affinis",5.1,102.8,"GBIF"
"Rhinolophus affinis",21.5075,105.608,"GBIF"
"Rhinolophus affinis",12.4739,98.4032,"GBIF"
"Rhinolophus affinis",19.5093,98.8326,"GBIF"
"Rhinolophus affinis",26.4167,111.033,"GBIF"
"Rhinolophus affinis",15.2,108.033,"GBIF"
"Rhinolophus affinis",15.267,108.15,"GBIF"
"Rhinolophus affinis",15.233,108.033,"GBIF"
"Rhinolophus affinis",17.505,100.938,"GBIF"
"Rhinolophus affinis",6.994,100.149,"GBIF"
"Rhinolophus affinis",5.801,101.831,"GBIF"
"Rhinolophus affinis",17.506,100.95,"GBIF"
"Rhinolophus affinis",22,102.1667,"GBIF"
"Rhinolophus affinis",22.283,103.917,"GBIF"
"Rhinolophus affinis",22.2833,103.917,"GBIF"
"Rhinolophus affinis",11.837,107.64,"GBIF"
"Rhinolophus affinis",12.375,108.353,"GBIF"
"Rhinolophus affinis",-7.45,108.55,"GBIF"
"Rhinolophus affinis",11.8667,108.55,"GBIF"
"Rhinolophus affinis",22.3333,105.417,"GBIF"
"Rhinolophus affinis",22.35,103.767,"GBIF"
"Rhinolophus affinis",11.417,107.417,"GBIF"
"Rhinolophus affinis",12.177,108.698,"GBIF"
"Rhinolophus affinis",27.2,96.9,"GBIF"
"Rhinolophus affinis",27.25,96.87,"GBIF"
"Rhinolophus affinis",21.883333,101.3,"GBIF"
"Rhinolophus affinis",16.654867,99.657583,"GBIF"
"Rhinolophus affinis",6.604417,99.6753,"GBIF"
"Rhinolophus affinis",6.646,99.623333,"GBIF"
"Rhinolophus affinis",7.254167,100.525556,"GBIF"
"Rhinolophus affinis",16.3838,101.562367,"GBIF"
"Rhinolophus affinis",7.09025,99.909767,"GBIF"
"Rhinolophus affinis",14.352222,103.265,"GBIF"
"Rhinolophus affinis",15.707222,98.991111,"GBIF"
"Rhinolophus affinis",19.531917,98.845617,"GBIF"
"Rhinolophus affinis",10.91885,99.374,"GBIF"
"Rhinolophus affinis",19.770833,99.038056,"GBIF"
"Rhinolophus affinis",6.983333,100.133333,"GBIF"
"Rhinolophus affinis",17.505383,100.93825,"GBIF"
"Rhinolophus affinis",16.571383,100.876383,"GBIF"
"Rhinolophus affinis",6.658,99.656667,"GBIF"
"Rhinolophus affinis",17.473817,101.97565,"GBIF"
"Rhinolophus affinis",25.2,117.25,"Zhang et al. 2009"
"Rhinolophus affinis",25.1666666666667,116.75,"Zhang et al. 2009"
"Rhinolophus affinis",25.65,116.883333333333,"Zhang et al. 2009"
"Rhinolophus affinis",26.4166666666667,117.65,"Zhang et al. 2009"
"Rhinolophus affinis",26.4,117.183333333333,"Zhang et al. 2009"
"Rhinolophus affinis",27.8166666666667,117.716666666667,"Zhang et al. 2009"
"Rhinolophus affinis",23.2666666666667,114.066666666667,"Zhang et al. 2009"
"Rhinolophus affinis",25.2833333333333,110.3,"Zhang et al. 2009"
"Rhinolophus affinis",25.2833333333333,110.35,"Zhang et al. 2009"
"Rhinolophus affinis",18.7,109.883333333333,"Zhang et al. 2009"
"Rhinolophus affinis",19.0666666666667,109.766666666667,"Zhang et al. 2009"
"Rhinolophus affinis",18.5666666666667,109.433333333333,"Zhang et al. 2009"
"Rhinolophus affinis",19.0666666666667,109.55,"Zhang et al. 2009"
"Rhinolophus affinis",19.95,110.2,"Zhang et al. 2009"
"Rhinolophus affinis",28.0666666666667,116.966666666667,"Zhang et al. 2009"
"Rhinolophus affinis",21.9666666666667,100.816666666667,"Zhang et al. 2009"
"Rhinolophus affinis",24.1833333333333,103.35,"Zhang et al. 2009"
"Rhinolophus affinis",13.8,105.283333333333,"Kingsada et al. 2011"
"Rhinolophus affinis",14.0666666666667,105.283333333333,"Kingsada et al. 2011"
"Rhinolophus affinis",14.35,107.366666666667,"Kingsada et al. 2011"
"Rhinolophus affinis",13.6666666666667,104.016666666667,"Kingsada et al. 2011"
"Rhinolophus affinis",19.5319444444444,98.8405555555556,"Kingsada et al. 2011"
"Rhinolophus affinis",15.7072222222222,98.9911111111111,"Kingsada et al. 2011"
"Rhinolophus affinis",17.5052777777778,100.938333333333,"Kingsada et al. 2011"
"Rhinolophus affinis",16.5713888888889,101.103333333333,"Kingsada et al. 2011"
"Rhinolophus affinis",16.3,101.866666666667,"Kingsada et al. 2011"
"Rhinolophus affinis",14.3522222222222,103.265,"Kingsada et al. 2011"
"Rhinolophus affinis",10.9188888888889,99.3738888888889,"Kingsada et al. 2011"
"Rhinolophus affinis",10.1666666666667,98.9197222222222,"Kingsada et al. 2011"
"Rhinolophus affinis",9.72666666666667,99.1083333333333,"Kingsada et al. 2011"
"Rhinolophus affinis",10.3261111111111,98.7652777777778,"Kingsada et al. 2011"
"Rhinolophus affinis",10.0319444444444,98.9197222222222,"Kingsada et al. 2011"
"Rhinolophus affinis",7.09027777777778,99.9097222222222,"Kingsada et al. 2011"
"Rhinolophus affinis",7.00083333333333,100.142222222222,"Kingsada et al. 2011"
"Rhinolophus affinis",6.99972222222222,100.297777777778,"Kingsada et al. 2011"
"Rhinolophus affinis",7.07111111111111,100.266388888889,"Kingsada et al. 2011"
"Rhinolophus affinis",5.79833333333333,101.825,"Kingsada et al. 2011"
"Rhinolophus affinis",6.60444444444444,99.9166666666667,"Kingsada et al. 2011"
"Rhinolophus affinis",6.38673333333333,99.7971833333333,"Ith et al. 2015"
"Rhinolophus affinis",5.26325,100.4846,"Ith et al. 2015"
"Rhinolophus affinis",5.17436666666667,101.903183333333,"Ith et al. 2015"
"Rhinolophus affinis",4.27135,102.371933333333,"Ith et al. 2015"
"Rhinolophus affinis",23.9160333333333,97.8166666666667,"Ith et al. 2015"
"Rhinolophus affinis",21.45805,99.5333333333333,"Ith et al. 2015"
"Rhinolophus affinis",20.3529166666667,96.8864833333333,"Ith et al. 2015"
"Rhinolophus affinis",12.4739333333333,98.4031833333333,"Ith et al. 2015"
"Rhinolophus affinis",12.5018833333333,98.40555,"Ith et al. 2015"
"Rhinolophus affinis",12.19,99.01,"Ith et al. 2015"
"Rhinolophus affinis",19.5092666666667,98.8326,"Ith et al. 2015"
"Rhinolophus affinis",17.4290333333333,101.633433333333,"Ith et al. 2015"
"Rhinolophus affinis",13.3023666666667,99.4168166666667,"Ith et al. 2015"
"Rhinolophus affinis",12.7994166666667,99.4635333333333,"Ith et al. 2015"
"Rhinolophus affinis",12.5371333333333,99.4635333333333,"Ith et al. 2015"
"Rhinolophus affinis",10.3725,99.0741666666667,"Ith et al. 2015"
"Rhinolophus affinis",8.77,98.31,"Ith et al. 2015"
"Rhinolophus affinis",8.5375,99.7232666666667,"Ith et al. 2015"
"Rhinolophus affinis",7.92527777777778,99.2630555555556,"Ith et al. 2015"
"Rhinolophus affinis",7.39666666666667,99.9777777777778,"Ith et al. 2015"
"Rhinolophus affinis",7.30133333333333,99.6998,"Ith et al. 2015"
"Rhinolophus affinis",7.01293333333333,100.020983333333,"Ith et al. 2015"
"Rhinolophus affinis",6.92971666666667,100.27165,"Ith et al. 2015"
"Rhinolophus affinis",6.5518,100.27165,"Ith et al. 2015"
"Rhinolophus affinis",22.1886666666667,106.058833333333,"Ith et al. 2015"
"Rhinolophus affinis",21.5074666666667,105.608206666667,"Ith et al. 2015"
"Rhinolophus affinis",20.8293,103.491983333333,"Ith et al. 2015"
"Rhinolophus affinis",19.9036833333333,104.837383333333,"Ith et al. 2015"
"Rhinolophus affinis",19.0223333333333,104.745433333333,"Ith et al. 2015"
"Rhinolophus affinis",17.47,105.52,"Ith et al. 2015"
"Rhinolophus affinis",16.18315,107.874933333333,"Ith et al. 2015"
"Rhinolophus affinis",14.4836833333333,107.63565,"Ith et al. 2015"
"Rhinolophus affinis",14.29,108.36,"Ith et al. 2015"
"Rhinolophus affinis",14.19,108.25,"Ith et al. 2015"
"Rhinolophus affinis",3.7,101.967,"Lim 2012"
"Rhinolophus affinis",3.7494,101.891,"Lim 2012"
"Rhinolophus affinis",3.6348,102.4542,"Lim 2012"
"Rhinolophus affinis",3.75,102.1667,"Lim 2012"
"Rhinolophus affinis",3.683,102.083,"Lim 2012"
"Rhinolophus affinis",6.1069,100.9628,"Lim 2012"
"Rhinolophus affinis",4.6736,101.4857,"Lim 2012"
"Rhinolophus affinis",5.3398,101.9766,"Lim 2012"
"Rhinolophus affinis",3.2229,102.9011,"Lim 2012"
"Rhinolophus affinis",5.51,101.36,"Lim 2012"
"Rhinolophus affinis",4.2163,102.1882,"Lim 2012"
"Rhinolophus affinis",3.2369,101.6378,"Lim 2012"
"Rhinolophus affinis",5.5012,100.7732,"Lim 2012"
"Rhinolophus affinis",6.3192,100.484,"Lim 2012"
"Rhinolophus affinis",2.705,102.0782,"Lim 2012"
"Rhinolophus affinis",5.1511,100.5457,"Lim 2012"
"Rhinolophus affinis",4.5385,101.0039,"Lim 2012"
"Rhinolophus affinis",4.22,100.555,"Lim 2012"
"Rhinolophus affinis",4.3789,101.1757,"Lim 2012"
"Rhinolophus affinis",5.6948,102.1681,"Lim 2012"
"Rhinolophus affinis",5.7411,102.3784,"Lim 2012"
"Rhinolophus affinis",5.7944,102.3384,"Lim 2012"
"Rhinolophus affinis",4.4131,102.6813,"Lim 2012"
"Rhinolophus affinis",3.9167,103.0333,"Lim 2012"
"Rhinolophus affinis",2.1862,103.586,"Lim 2012"
"Rhinolophus affinis",1.8693,103.9139,"Lim 2012"
"Rhinolophus affinis",2.3456,103.1589,"Lim 2012"
"Rhinolophus affinis",2.3833,102.3833,"Lim 2012"
"Rhinolophus affinis",2.4667,102.4167,"Lim 2012"
