"presence","x","y","cells","bio1","bio12","bio15","ntl","pop_dens","dist_karst","perc_water_bodies","perc_evgrn_ndlf_forests","perc_evgrn_brdlf_forests","perc_decid_brdlf_forests","perc_mxd_forests"
0,115.075,42.425,406,2.66776371002197,322.755096435547,105.665168762207,0.319112032651901,20.472728729248,0.583095192909241,0,0,0,0,0
0,115.325,42.425,411,3.44776773452759,316.484680175781,108.279182434082,0.332598924636841,0.278612375259399,0.743303418159485,0,0,0,0,0
0,115.475,42.425,414,3.20094132423401,324.585723876953,107.861991882324,0.323139190673828,1.88869035243988,0.860232532024384,0,0,0,0,0
0,115.575,42.425,416,2.82275414466858,329.168365478516,109.125091552734,0.332743614912033,9.76554107666016,0.943398118019104,0,0,0,0,0
0,115.825,42.425,421,2.60979247093201,344.617340087891,109.270889282227,0.322769969701767,10.0180521011353,1.15433967113495,0,0,0,0,0
0,116.325,42.425,431,2.26455020904541,367.795928955078,111.17121887207,0.326169937849045,4.61222553253174,1.21655249595642,0,0,0,0,0
0,116.375,42.425,432,2.18056535720825,371.25,111.495246887207,0.31717523932457,2.23929476737976,1.22576510906219,0,0,0,0,0
0,115.175,42.375,951,3.26522016525269,317.714294433594,106.925682067871,0.523747205734253,20.4934253692627,0.602079749107361,0,0,0,0,0
0,115.825,42.375,964,2.58022618293762,352.357147216797,108.333389282227,0.332795739173889,11.225715637207,1.1423659324646,0,0,0,0,0
0,115.075,42.325,1492,2.80016493797302,323.698974609375,105.614418029785,0.402507692575455,20.4934234619141,0.5,0,0,0,0,0
0,115.625,42.325,1503,2.58777379989624,345.535705566406,107.376243591309,0.33349347114563,11.3515596389771,0.939414739608765,0,0,0,0,0
0,115.925,42.325,1509,2.44814372062683,351.683685302734,110.888801574707,0.34453609585762,11.006591796875,1.21757960319519,0,0,0,0,0
0,116.375,42.325,1518,2.61468458175659,383.464294433594,109.901863098145,0.340604364871979,29.7622089385986,1.32382023334503,0,0,0,0,0
0,114.475,42.275,2023,3.33584809303284,301.133331298828,105.97241973877,0.303293764591217,2.55702662467957,0.364005506038666,0,0,0,0,0
0,116.975,42.275,2073,1.97273111343384,413.088897705078,111.674415588379,0.319651424884796,5.43400573730469,1.56604599952698,0,0,0,0,0
0,114.675,42.225,2570,3.9542396068573,302.266662597656,106.282661437988,0.319600135087967,10.3695192337036,0.300000011920929,0,0,0,0,0
0,115.025,42.225,2577,3.18316531181335,321.813323974609,105.855529785156,0.42422142624855,22.0274696350098,0.390512496232986,0,0,0,0,0
0,116.025,42.225,2597,2.67877411842346,363.124450683594,110.349388122559,2.87905836105347,21.2804546356201,1.28549599647522,0,0,0,0,0
0,116.125,42.225,2599,2.46327209472656,386.333343505859,108.019020080566,0.438384115695953,3.62753105163574,1.38293170928955,0,0,0,0,0
0,116.175,42.225,2600,2.38240385055542,392.276184082031,107.145515441895,0.378572911024094,9.0843334197998,1.4008926153183,0,0,0,0,0
0,116.575,42.225,2608,2.85236501693726,398.799987792969,109.873962402344,2.70131349563599,30.2000846862793,1.45086181163788,0,0,0,0,0
0,116.725,42.225,2611,2.4702296257019,398.133331298828,111.869857788086,0.334086209535599,19.6581764221191,1.46372807025909,0,0,0,0,0
0,117.225,42.225,2621,1.63369560241699,440.693328857422,110.878898620605,0.305502861738205,5.3292441368103,1.59765458106995,0,0,0,0,0
0,114.425,42.175,3108,3.48850607872009,301.857147216797,105.716835021973,0.309034794569016,8.12350559234619,0.29154759645462,0,0,0,0,0
0,114.475,42.175,3109,3.53074288368225,305.376190185547,105.319412231445,0.313737362623215,14.9471044540405,0.269258230924606,0,0,0,0,0
0,114.625,42.175,3112,3.87386298179626,306.357147216797,105.897651672363,0.331479966640472,16.6423969268799,0.25,0,0,0,0,0
0,114.675,42.175,3113,3.89045310020447,308.683685302734,105.909477233887,0.325467467308044,16.6423969268799,0.25,0,0,0,0,0
0,114.825,42.175,3116,3.91109085083008,312.443878173828,106.046714782715,0.334245353937149,24.5316104888916,0.254950970411301,0,0,0,0,0
0,115.475,42.175,3129,3.09540295600891,369.576202392578,101.473045349121,0.311713695526123,13.6872406005859,0.743303418159485,0,0,0,0,0
0,115.775,42.175,3135,2.75570940971375,363.94287109375,107.097427368164,0.331447094678879,20.1298046112061,1.03077638149261,0,0,0,0,0
0,116.125,42.175,3142,2.06651782989502,399.607147216797,106.505294799805,0.363840222358704,18.9063053131104,1.35830771923065,0,0,0,0,0
0,116.275,42.175,3145,2.2413284778595,405.447631835938,107.246673583984,0.322682827711105,31.8399772644043,1.38293170928955,0,0,0,0,0
0,116.425,42.175,3148,2.63035988807678,384.39794921875,113.075828552246,0.610954523086548,31.8399772644043,1.39999997615814,0,0,0,0,0
0,116.475,42.175,3149,2.68575000762939,384.857147216797,114.022621154785,1.67362582683563,31.8399772644043,1.39999997615814,0,0,0,0,0
0,116.575,42.175,3151,2.71876764297485,399.632659912109,111.082191467285,1.17646062374115,30.242654800415,1.4008926153183,0,0,0,0,0
