fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
LQH,3.5,fc.LQH_rm.3.5,0.8241207133058985,NA,0.07117685690623518,0.06626414427882027,0.7714995617885474,0.07602050721385477,NA,NA,0.15439075550810227,0.05425549731684405,0.012132950741272118,0.011413663078113416,6129.041001993068,10.094256042550114,0.005854952281060559,34
L,4,fc.L_rm.4,0.7506984910836763,NA,0.07075047092876632,0.09470784842136226,0.7068944011893887,0.09780500553143341,NA,NA,0.1536701700532737,0.1541512564397501,0.01131782945736434,0.015901868409250338,6260.687354638151,141.74060868763354,1.5166350959034829e-31,7
LQ,4,fc.LQ_rm.4,0.7654810699588477,NA,0.07481878604761898,0.08560079684819046,0.7229504072176562,0.09267381075479983,NA,NA,0.14512095025191019,0.10606732099102945,0.011544715447154472,0.01612135877456317,6212.322509573215,93.37576362269738,4.821406694027561e-21,11
H,4,fc.H_rm.4,0.8250616598079561,NA,0.09862359726484582,0.10993426550775504,0.7427731114812649,0.12188545742182569,NA,NA,0.21370707239220135,0.13976236757665927,0.015466284074605452,0.014953535583974767,6313.2174556308855,194.27070968036787,5.944490045557891e-43,80
LQH,4,fc.LQH_rm.4,0.8178051440329218,NA,0.07238465186666321,0.06657139175857042,0.7694923843661724,0.07817754226648717,NA,NA,0.15660213762192343,0.05336808186328802,0.012132950741272118,0.011413663078113416,6118.946745950518,0,0.9108842838522989,23
L,4.5,fc.L_rm.4.5,0.7507327846364883,NA,0.0725182650778661,0.09703221943398652,0.7060611843706243,0.10074289317962767,NA,NA,0.17313645412787917,0.17208493735312355,0.01131782945736434,0.015901868409250338,6261.299318050383,142.35257209986503,1.1168502225626612e-31,7
LQ,4.5,fc.LQ_rm.4.5,0.7646718792866941,NA,0.07473386599106527,0.08681520306328135,0.7215078469959416,0.09388122119667058,NA,NA,0.13512095025191018,0.07520690205220269,0.011544715447154472,0.01612135877456317,6217.537993474655,98.59124752413754,3.5534141474361407e-22,11
H,4.5,fc.H_rm.4.5,0.820556927297668,NA,0.09990207140080527,0.11146458427086013,0.7365811724980178,0.12258602946255359,NA,NA,0.22169156851623237,0.13566138412096848,0.015466284074605452,0.014953535583974767,6275.080605776135,156.13385982561704,1.136125555251546e-34,65
LQH,4.5,fc.LQH_rm.4.5,0.8158430727023319,NA,0.0728804303324406,0.06831936511304679,0.7677997401641625,0.08094806602114706,NA,NA,0.14440625938407128,0.04550472197920449,0.012132950741272118,0.011413663078113416,6123.757184463177,4.810438512658948,0.08220339573423198,22
L,5,fc.L_rm.5,0.7508015089163237,NA,0.0741419418916327,0.09965738716201415,0.705116157080271,0.10384614638774876,NA,NA,0.1764697874612125,0.1708748069705047,0.01131782945736434,0.015901868409250338,6261.981173091064,143.03442714054654,7.942038614246925e-32,7
LQ,5,fc.LQ_rm.5,0.763828463648834,NA,0.0761880379061046,0.09191470274514969,0.7184603156606478,0.09853053320197763,NA,NA,0.16178761691857685,0.13409454910433757,0.011544715447154472,0.01612135877456317,6220.250354922111,101.30360897159335,9.155119602905484e-23,10
H,5,fc.H_rm.5,0.8152002743484225,NA,0.09961305677731866,0.11291785603421599,0.7319483949341997,0.12379784765045329,NA,NA,0.218358235182899,0.13703728929393638,0.015466284074605452,0.014953535583974767,6267.614021443788,148.6672754932706,4.750884975668089e-33,57
LQH,5,fc.LQH_rm.5,0.8142467764060357,NA,0.073354889860278355,0.07079533159262545,0.7655941665459911,0.08414193733562554,NA,NA,0.14707292605073793,0.049768064211899755,0.008211382113821138,0.011570736734347702,6132.4760704346145,13.529324484096833,0.001051012122546212,23
