"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
2633173739,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBGC19027-19","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0988","BOLD:ACF0988","","MM","","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",22.8065,93.6998,NA,NA,NA,NA,NA,NA,2014-04-25,25,4,2014,10006774,2432641,"MATERIAL_SAMPLE","","","","","",NA,"CC_BY_4_0","","",NA,"",2023-09-27 15:55:00.764,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2626393406,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/45651386","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","SPECIES","Rhinolophus affinis Horsfield, 1823","Rhinolophus affinis","","ID","","Nusa Tenggara Timur","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-8.524744,119.867461,47,NA,NA,NA,NA,NA,2015-03-31 07:36:00,31,3,2015,2432641,2432641,"HUMAN_OBSERVATION","iNaturalist","Observations","45651386","","derpyfox",2020-05-12 03:35:28,"CC_BY_NC_4_0","B. P. White","B. P. White",NA,"",2023-09-28 12:55:15.855,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
2598674852,"c6b86c40-ff71-4e5e-902c-111f400d0d56","https://indiabiodiversity.org/observation/show/1821053","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus pusillus","","SPECIES","Rhinolophus pusillus Temminck, 1834","Rhinolophus pusillus Temminck, 1834","","IN","","","PRESENT",NA,"62431bdf-fa0c-452b-afce-be14884a47ff",25.793957,94.893951,NA,NA,NA,NA,NA,NA,2014-10-10,10,10,2014,2432639,2432639,"HUMAN_OBSERVATION","","","1821053","","Rajesh Puttaswamaiah, Bat Conservation India Trust",NA,"CC_BY_4_0","","Rajesh Puttaswamaiah, Bat Conservation India Trust",NA,"",2023-09-28 17:02:17.067,"StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
2429327699,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/33695965","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","SPECIES","Rhinolophus affinis Horsfield, 1823","Rhinolophus affinis","","TH","","Phetchaburi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",12.842316,99.591718,252,NA,NA,NA,NA,NA,2018-10-06 19:10:00,6,10,2018,2432641,2432641,"HUMAN_OBSERVATION","iNaturalist","Observations","33695965","","Andrew Pierce",2019-10-01 12:34:23,"CC_BY_NC_4_0","Andrew Pierce","Andrew Pierce",NA,"",2023-09-28 11:18:42.769,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
2251359329,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=SKBPA515-08","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0988","BOLD:ACF0988","","VN","Lac Duong district, Da Nim river valley, 5 km NE from Long Lanh","Lam Dong","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",12.179,108.679,NA,NA,1400,0,NA,NA,2008-04-19,19,4,2008,10006774,2432641,"MATERIAL_SAMPLE","","","","","Sergei V. Kruskop",NA,"CC_BY_4_0","","Sergei V. Kruskop",NA,"",2023-09-27 15:54:55.44,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2251358970,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=SKBPA518-08","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0988","BOLD:ACF0988","","VN","Lac Duong district, Da Nim river valley, 5 km NE from Long Lanh","Lam Dong","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",12.179,108.679,NA,NA,1400,0,NA,NA,2008-04-21,21,4,2008,10006774,2432641,"MATERIAL_SAMPLE","","","","","Sergei V. Kruskop",NA,"CC_BY_4_0","","Sergei V. Kruskop",NA,"",2023-09-27 15:54:53.793,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2251358878,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=SKBPA517-08","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0988","BOLD:ACF0988","","VN","Lac Duong district, Da Nim river valley, 5 km NE from Long Lanh","Lam Dong","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",12.179,108.679,NA,NA,1400,0,NA,NA,2008-04-20,20,4,2008,10006774,2432641,"MATERIAL_SAMPLE","","","","","Sergei V. Kruskop",NA,"CC_BY_4_0","","Sergei V. Kruskop",NA,"",2023-09-27 15:53:38.73,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2251358439,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=SKBPA081-06","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus pusillus","","SPECIES","Rhinolophus pusillus Temminck, 1834","Rhinolophus cf. pusillus","","VN","Ha Bac, Huong Khe, Vu Quang Nature Reserve","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",18.267,105.45,NA,NA,200,0,NA,NA,1997-07-31,31,7,1997,2432639,2432639,"MATERIAL_SAMPLE","","","S-164992","","Alex V. Borisenko",NA,"CC_BY_4_0","","Alex V. Borisenko",NA,"",2023-09-27 15:54:55.388,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2251357652,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=SKBPA511-08","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0988","BOLD:ACF0988","","VN","Lac Duong district, Da Nim river valley, 5 km NE from Long Lanh","Lam Dong","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",12.179,108.679,NA,NA,1400,0,NA,NA,2008-04-17,17,4,2008,10006774,2432641,"MATERIAL_SAMPLE","","","","","Sergei V. Kruskop",NA,"CC_BY_4_0","","Sergei V. Kruskop",NA,"",2023-09-27 15:53:38.77,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2251356820,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=SKBPA514-08","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0988","BOLD:ACF0988","","VN","Lac Duong district, Da Nim river valley, 5 km NE from Long Lanh","Lam Dong","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",12.179,108.679,NA,NA,1400,0,NA,NA,2008-04-18,18,4,2008,10006774,2432641,"MATERIAL_SAMPLE","","","","","Sergei V. Kruskop",NA,"CC_BY_4_0","","Sergei V. Kruskop",NA,"",2023-09-27 15:53:38.763,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2251292381,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=RONP021-14","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","SPECIES","Rhinolophus affinis Horsfield, 1823","Rhinolophus affinis","","MY","Kenyir Lake","Terengganu","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",5.1,102.8,NA,NA,NA,NA,NA,NA,2013-07-25,25,7,2013,2432641,2432641,"MATERIAL_SAMPLE","","","","","Khairunnisa Syaripuddin",NA,"CC_BY_4_0","","Khairunnisa Syaripuddin",NA,"",2023-09-27 15:54:29.877,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2249819123,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMA9812-15","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","UNRANKED","BOLD:ACF0990","BOLD:ACF0990","","TH","","","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",7.0129,100.021,NA,NA,NA,NA,NA,NA,2011-08-24,24,8,2011,10037390,2432641,"MATERIAL_SAMPLE","","","IS110823.4","","",NA,"CC_BY_4_0","","Saveng Ith and Pipat Soisook",NA,"",2023-09-27 15:54:43.11,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
